Production_budget,Worldwide_gross
18000000,16011975
5000000,16017403
6800000,16038343
25000000,16118077
2000000,16131551
103000,16137
17000000,16140842
7000000,16149180
10000000,16153000
16500000,16154786
40000000,16172200
1000000,16173879
12500000,16193713
12000000,16221211
9000000,16235738
75000000,16283165
30000000,16295774
24000000,16304786
17000000,16316273
40000000,16340767
12000000,16349034
6000000,16369708
3500000,16376066
18000000,16382538
25000000,16425701
1000000,16434588
10000000,16460336
30000000,16481405
19700000,16498827
17000000,16510971
5000000,16515203
9100000,16517708
26000000,16521410
1000000,16553163
2650000,16556
27000000,16566235
1000000,16566240
50000000,16581575
8000000,16585503
2000000,16610760
20000000,16612072
5000000,16628751
28000000,16638300
32000000,16640210
10000000,16667084
20000000,16723377
25000000,16727470
13000000,16757163
15000000,16829464
35000000,16830252
7000000,16866928
30000000,16873925
10000000,16891011
20000000,16907831
820000,16909
14000000,16951798
15800000,16955673
18000000,16959614
3000000,16976561
20000000,16988996
36000000,160000000
30000000,160247805
70000000,160379930
82500000,160388063
30000000,160502573
31000000,160558438
46000000,160648493
60000000,160700000
26000000,160822438
15000000,160903019
45000000,160971922
10000000,161097
12000000,161480042
85000000,161510853
50000000,161626121
45000000,161735791
7000000,161800000
40000000,161838076
5000000,161921515
50000000,161941727
30000000,162279328
40000000,162498338
90000000,162525156
200000,162605
47000000,162738726
90000000,162753837
60000000,162778384
92500000,162839667
73000000,162870525
120000000,163018913
3000000,163069
65000000,163295654
31000000,163503514
65000000,163527824
30000000,163644662
135000000,163818556
55000000,163838217
10000000,163876815
25000000,164035753
13400000,164247
60000000,164285587
45000000,164640401
20000000,164675402
80000000,164800000
60000000,165048228
35000000,165103952
115000000,165149302
80000000,165173909
30000000,165334774
33000000,165552290
44000000,165600852
95000000,165720921
30000000,165889117
60000000,165890634
90000000,165900000
120000000,166000000
100000000,166083937
84000000,166307945
54000000,166617328
140000000,166623705
30000000,166842739
155000000,167297191
15000000,167780960
30000000,167791704
120000000,167849187
40000000,167851995
110000000,167910690
65000000,168065700
37000000,168167798
80000000,168311558
30000000,168832
29000000,168841459
40000000,168904682
30000000,169173206
170000,169242
100000000,169296573
90000000,169400000
40000000,169590606
17500000,169955142
7500000,17
500000,17000000
7000000,17005466
2900000,17006158
7000000,17023121
40000000,17033431
10000000,17033556
30000000,17121823
1000000,17127
9200000,17155193
2000000,17187434
8500000,17202854
22000000,17216955
65000000,17218916
8500000,17220091
45000000,17220599
15000000,17224539
300000,17241
6000000,17252287
12000000,17292381
10000000,17300838
20000000,17306648
12000000,17322212
5000000,17329337
38000000,17378193
8000000,17382693
8000000,17394881
21000000,17396
2000000,17400005
20000000,17430594
10000000,17433072
11000000,17443529
9000000,17462398
12000000,17475475
3000000,17489009
45000000,17492014
5000000,17499242
180000,17503
10000000,17503828
4900000,17536004
10000000,17536256
900000,17549645
9800000,17553055
3000000,17570324
24000000,17589829
21000000,17589867
20000000,17612099
4000000,17639
10000000,17657973
10000000,17704131
1000000,17721
21000000,17760244
5000000,17768757
20000000,17769299
9000000,17804273
20000000,17807569
38000000,17831558
13000000,17856688
30000000,17865209
2000000,17896
18000000,17920013
3000000,17966760
35000000,17967746
1000000,17985000
132900000,170024300
60000000,170200225
45000000,170362581
30000000,170466405
7000000,170549753
80000000,170805525
100000000,170936470
50000000,171269535
25000000,171302226
40000000,171317271
100000000,171377916
20000000,171685793
650000,171962
110000000,172022517
50000000,172246223
24000000,172363301
60000000,172450423
70000000,172543519
1500000,172569
30000000,172778667
10000000,172811971
65000000,172825854
2900000,172867
70000000,172878928
42000000,173044410
15000000,173046663
1500000,173066
10000000,173472
33000000,173559438
37000000,173567581
600000,173599
85000000,173613482
50000000,173671418
175000000,174131329
10350000,174201661
2500000,174255
45000000,174278214
55000000,174463257
200000,174682
45000000,174807445
35000000,175361578
20000000,175507800
22000000,175516617
70000000,175807183
60000000,175863783
913000,176
163000000,176038324
72000000,176101721
1500000,176262
60000000,176262839
26000000,176276839
55000000,176469428
30000000,176885658
13900000,176980863
30000000,177025498
15000000,177200000
110000000,177241171
3000000,177512032
17000000,177535958
40000000,177835231
80000000,177993801
250000,178095
45000000,178100000
115000000,178200000
12000000,178287
50000000,178503788
40000000,178710620
53000000,179199536
78000000,179265204
149000000,179357126
50000000,179769457
2000000,18016290
4500000,18019834
15000000,18067151
8000000,18090181
19000000,18100189
6500000,18110152
67000000,18115927
5500000,18119231
45000000,18120267
26000000,18132937
7000000,18190831
32000000,18195238
6000000,18209872
4000000,18215077
20000000,18250106
15000000,18260865
20000000,18273009
3200000,18285560
3450000,18309793
20000000,18310591
2000000,18344729
35000000,18376443
20000000,18400000
10000000,18423914
25000000,18445379
12000000,18472775
3500000,18495444
26000000,18496522
6000000,18504539
92000000,18517322
15000000,18524496
5600000,18527766
5000000,18528789
30000000,18535575
32000000,18552460
55000000,18582965
40000000,18594227
20000000,18608570
7000000,18642318
23000000,18653615
1125000,18673274
62000000,18708848
10100000,18726300
6000000,18727440
13000000,18733666
30000000,18765585
42000000,18821576
250000,18823
20000000,18826490
8000000,18828036
9100000,18872126
25000000,18877153
15000000,18889972
5000000,18945682
8000000,18959424
10000000,18976477
25000000,18991288
180000000,180047784
65000000,180148897
80000000,180188905
80000000,180585259
20000000,180790756
25000000,180856996
20000000,180998716
80000000,181038616
1100,181041
40000000,181053657
30000000,181489203
160000000,181674817
6000000,181798
179000000,181982519
35000000,182291969
2450000,182358
38000000,182365114
3500000,182695
80000000,182782518
20000000,183097323
97000000,183124621
17000000,183316455
70000000,183353431
80000000,183354514
9000000,184255
75000000,184329871
1500000,184705
1488000,184925486
14000000,185400000
4000000,185577
85000000,185708462
45000000,185736412
50000000,185798265
26000000,185904750
90000000,186049020
50000000,186450317
60000000,186883563
138000000,186976250
10000000,187281115
40000000,187384627
27500000,187500000
29000000,187707495
91000000,187861183
45000000,187995859
63000000,188657593
58000000,188715611
66000000,189176423
55000000,189624452
22000000,189800000
12000000,19000000
15000000,19014238
30000000,19035741
12600000,19054534
10000000,19080435
9000000,19096003
20000000,19121531
23000000,19123851
15000000,19153568
2800000,19170001
4000000,19174817
3000000,19184820
25000000,19233280
35000000,19282590
12000000,19287485
22000000,19288130
24000000,19303058
38000000,19317765
15000000,19344615
40000000,19417182
5000000,19421271
5000000,19438638
9000000,19445636
3000000,19472057
10000000,19535005
22000000,19563579
9300000,19571091
6000000,19594567
30000000,19599974
5000000,19600000
14000000,19637147
8200000,19637575
70000000,19665004
18000000,19685588
17000000,19693891
10000000,19716
5000000,19720203
18000000,19739000
40000000,19756077
6000000,19789712
3750000,19794935
500000,19800
12000000,19859167
10000000,19860259
70000000,19870567
3300000,19875
8000000,19891331
30000000,19892205
7000000,19910002
13000000,19910624
13000000,19929123
11000000,19947280
